Bayleef,153,Gräs
Meganium,154,Gräs
Cyndaquil,155,Eld
Quilava,156,Eld
Typhlosion,157,Eld
Totodile,158,Vatten
Croconaw,159,Vatten
Feraligatr,160,Vatten
Sentret,161,Normal
Furret,162,Normal
Hoothoot,163,Normal/Flygande
Noctowl,164,Normal/Flygande
Ledyba,165,Insekt/Flygande
Ledian,166,Insekt/Flygande
Spinarak,167,Insekt/Gift
Ariados,168,Insekt/Gift
Crobat,169,Gift/Flygande
Chinchou,170,Vatten/Elektrisk
Lanturn,171,Vatten/Elektrisk
Pichu,172,Elektrisk
Cleffa,173,Fe
Igglybuff,174,Normal/Fe
Togepi,175,Fe
Togetic,176,Fe/Flygande
Natu,177,Psykisk/Flygande
Xatu,178,Psykisk/Flygande
Mareep,179,Elektrisk
Flaaffy,180,Elektrisk
Ampharos,181,Elektrisk
Bellossom,182,Gräs
Marill,183,Vatten/Fe
Azumarill,184,Vatten/Fe
Sudowoodo,185,Sten
Politoed,186,Vatten
Hoppip,187,Gräs/Flygande
Skiploom,188,Gräs/Flygande
Jumpluff,189,Gräs/Flygande
Aipom,190,Normal
Sunkern,191,Gräs
Sunflora,192,Gräs
Yanma,193,Insekt/Flygande
Wooper,194,Vatten/Mark
Quagsire,195,Vatten/Mark
Espeon,196,Psykisk
Umbreon,197,Mörk
Murkrow,198,Mörk/Flygande
Slowking,199,Vatten/Psykisk
Misdreavus,200,Spöke
Unown,201,Psykisk
Wobbuffet,202,Psykisk
Girafarig,203,Normal/Psykisk
Pineco,204,Insekt
Forretress,205,Insekt/Stål
Dunsparce,206,Normal
Gligar,207,Mark/Flygande
Steelix,208,Stål/Mark
Snubbull,209,Fe
Granbull,210,Fe
Qwilfish,211,Vatten/Gift
Scizor,212,Insekt/Stål
Shuckle,213,Insekt/Sten
Heracross,214,Insekt/Kamp
Sneasel,215,Mörk/Is
Teddiursa,216,Normal
Ursaring,217,Normal
Slugma,218,Eld
Magcargo,219,Eld/Sten
Swinub,220,Is/Mark
Piloswine,221,Is/Mark
Corsola,222,Vatten/Sten
Remoraid,223,Vatten
Octillery,224,Vatten
Delibird,225,Is/Flygande
Mantine,226,Vatten/Flygande
Skarmory,227,Stål/Flygande
Houndour,228,Mörk/Eld
Houndoom,229,Mörk/Eld
Kingdra,230,Vatten/Drake
Phanpy,231,Mark
Donphan,232,Mark
Porygon2,233,Normal
Stantler,234,Normal
Smeargle,235,Normal
Tyrogue,236,Kamp
Hitmontop,237,Kamp
Smoochum,238,Is/Psykisk
Elekid,239,Elektrisk
Magby,240,Eld
Miltank,241,Normal
Blissey,242,Normal
Raikou,243,Elektrisk
Entei,244,Eld
Suicune,245,Vatten
Larvitar,246,Sten/Mark
Pupitar,247,Sten/Mark
Tyranitar,248,Sten/Mörk
Lugia,249,Psykisk/Flygande
Ho-Oh,250,Eld/Flygande
Celebi,251,Gräs/Psykisk
Treecko,252,Gräs
