Grotle,388,Gräs
Torterra,389,Gräs/Mark
Chimchar,390,Eld
Monferno,391,Eld/Kamp
Infernape,392,Eld/Kamp
Piplup,393,Vatten
Prinplup,394,Vatten
Empoleon,395,Vatten/Stål
Starly,396,Normal/Flygande
Staravia,397,Normal/Flygande
Staraptor,398,Normal/Flygande
Bidoof,399,Normal
Bibarel,400,Normal/Vatten
Kricketot,401,Insekt
Kricketune,402,Insekt
Shinx,403,Elektrisk
Luxio,404,Elektrisk
Luxray,405,Elektrisk
Budew,406,Gräs/Gift
Roserade,407,Gräs/Gift
Cranidos,408,Sten
Rampardos,409,Sten
Shieldon,410,Sten/Stål
Bastiodon,411,Sten/Stål
Burmy,412,Insekt/Gräs
Wormadam,413,Insekt/Gräs
Mothim,414,Insekt/Flygande
Combee,415,Insekt/Flygande
Vespiquen,416,Insekt/Flygande
Pachirisu,417,Elektrisk
Buizel,418,Vatten
Floatzel,419,Vatten
Cherubi,420,Gräs
Cherrim,421,Gräs
Shellos,422,Vatten
Gastrodon,423,Vatten/Mark
Ambipom,424,Normal
Drifloon,425,Spöke/Flygande
Drifblim,426,Spöke/Flygande
Buneary,427,Normal
Lopunny,428,Normal
Mismagius,429,Spöke
Honchkrow,430,Mörk/Flygande
Glameow,431,Normal
Purugly,432,Normal
Chingling,433,Psykisk
Stunky,434,Gift/Mörk
Skuntank,435,Gift/Mörk
Bronzor,436,Stål/Psykisk
Bronzong,437,Stål/Psykisk
Bonsly,438,Sten
Mime Jr.,439,Psykisk/Fe
Happiny,440,Normal
Chatot,441,Normal/Flygande
Spiritomb,442,Spöke/Mörk
Gible,443,Drake/Mark
Gabite,444,Drake/Mark
Garchomp,445,Drake/Mark
Munchlax,446,Normal
Riolu,447,Kamp
Lucario,448,Kamp/Stål
Hippopotas,449,Mark
Hippowdon,450,Mark
Skorupi,451,Gift/Insekt
Drapion,452,Gift/Mörk
Croagunk,453,Gift/Kamp
Toxicroak,454,Gift/Kamp
Carnivine,455,Gräs
Finneon,456,Vatten
Lumineon,457,Vatten
Mantyke,458,Vatten/Flygande
Snover,459,Gräs/Is
Abomasnow,460,Gräs/Is
Weavile,461,Mörk/Is
Magnezone,462,Elektrisk/Stål
Lickilicky,463,Normal
Rhyperior,464,Mark/Sten
Tangrowth,465,Gräs
Electivire,466,Elektrisk
Magmortar,467,Eld
Togekiss,468,Fe/Flygande
Yanmega,469,Insekt/Flygande
Leafeon,470,Gräs
Glaceon,471,Is
Gliscor,472,Mark/Flygande
Mamoswine,473,Is/Mark
Porygon-Z,474,Normal
Gallade,475,Psykisk/Kamp
Probopass,476,Sten/Stål
Dusknoir,477,Spöke
Froslass,478,Is/Spöke
Rotom,479,Elektrisk/Spöke
Uxie,480,Psykisk
Mesprit,481,Psykisk
Azelf,482,Psykisk
Dialga,483,Stål/Drake
Palkia,484,Vatten/Drake
Heatran,485,Eld/Stål
Regigigas,486,Normal
Giratina,487,Spöke/Drake
Cresselia,488,Psykisk
Phione,489,Vatten
Manaphy,490,Vatten
Darkrai,491,Mörk
Shaymin,492,Gräs
Arceus,493,Normal
Victini,494,Psykisk/Eld
