Quilladin,651,Gräs
Chesnaught,652,Gräs/Kamp
Fennekin,653,Eld
Braixen,654,Eld
Delphox,655,Eld/Psykisk
Froakie,656,Vatten
Frogadier,657,Vatten
Greninja,658,Vatten/Mörk
Bunnelby,659,Normal
Diggersby,660,Normal/Mark
Fletchling,661,Normal/Flygande
Fletchinder,662,Eld/Flygande
Talonflame,663,Eld/Flygande
Scatterbug,664,Insekt
Spewpa,665,Insekt
Vivillon,666,Insekt/Flygande
Litleo,667,Eld/Normal
Pyroar,668,Eld/Normal
Flabébé,669,Fe
Floette,670,Fe
Florges,671,Fe
Skiddo,672,Gräs
Gogoat,673,Gräs
Pancham,674,Kamp
Pangoro,675,Kamp/Mörk
Furfrou,676,Normal
Espurr,677,Psykisk
Meowstic,678,Psykisk
Honedge,679,Stål/Spöke
Doublade,680,Stål/Spöke
Aegislash,681,Stål/Spöke
Spritzee,682,Fe
Aromatisse,683,Fe
Swirlix,684,Fe
Slurpuff,685,Fe
Inkay,686,Mörk/Psykisk
Malamar,687,Mörk/Psykisk
Binacle,688,Sten/Vatten
Barbaracle,689,Sten/Vatten
Skrelp,690,Gift/Vatten
Dragalge,691,Gift/Drake
Clauncher,692,Vatten
Clawitzer,693,Vatten
Helioptile,694,Elektrisk/Normal
Heliolisk,695,Elektrisk/Normal
Tyrunt,696,Sten/Drake
Tyrantrum,697,Sten/Drake
Amaura,698,Sten/Is
Aurorus,699,Sten/Is
Sylveon,700,Fe
Hawlucha,701,Kamp/Flygande
Dedenne,702,Elektrisk/Fé
Carbink,703,Sten/Fe
Goomy,704,Drake
Sliggoo,705,Drake
Goodra,706,Drake
Klefki,707,Stål/Fe
Phantump,708,Spöke/Gräs
Trevenant,709,Spöke/Gräs
Pumpkaboo,710,Spöke/Gräs
Gourgeist,711,Spöke/Gräs
Bergmite,712,Is
Avalugg,713,Is
Noibat,714,Flygande/Drake
Noivern,715,Flygande/Drake
Xerneas,716,Fe
Yveltal,717,Mörk/Flygande
Zygarde,718,Drake/Mark
Diancie,719,Sten/Fe
Hoopa,720,Psykisk/Spöke
Volcanion,721,Eld/Vatten
Rowlet,722,Gräs/Flygande
